property_type,region,area_m2,price_usd,lat,lon,state
apartment,Northeast,78.0,134182.11,-12.985591,-38.469273,Brasil
apartment,Northeast,100.0,109217.99,-12.993493,-38.477962,Brasil
apartment,Northeast,198.0,218435.99,-12.985207,-38.456074,Brasil
apartment,Northeast,114.0,202833.42,-13.000443,-38.45739,Brasil
apartment,Northeast,82.0,81133.37,-12.992462,-38.444553,Brasil
apartment,Northeast,203.0,265243.71,-13.000443,-38.45739,Brasil
apartment,Northeast,90.0,131061.59,-13.002345,-38.528343,Brasil
apartment,Northeast,75.0,85703.4,-12.970389,-38.424129,Brasil
apartment,Northeast,67.0,131061.59,-12.982599,-38.499725,Brasil
apartment,Northeast,156.0,390064.28,-13.002883,-38.486099,Brasil
apartment,Northeast,116.0,208450.35,-12.951526,-38.392464,Brasil
apartment,Northeast,143.0,253385.75,-12.951526,-38.392464,Brasil
apartment,Northeast,109.0,146664.17,-12.968704,-38.435516,Brasil
apartment,Northeast,155.0,310491.16,-12.993305,-38.45739,Brasil
apartment,Northeast,71.0,84253.88,-12.992462,-38.444553,Brasil
apartment,Northeast,100.0,146664.17,-12.99183,-38.477451,Brasil
apartment,Northeast,103.0,186669.16,-12.998506,-38.52309,Brasil
apartment,Northeast,89.0,160706.48,-12.970966,-38.436806,Brasil
apartment,Northeast,143.0,296448.85,-12.941992,-38.403465,Brasil
apartment,Northeast,75.0,77388.75,-12.999527,-38.46265,Brasil
house,Northeast,170.0,93615.42,-12.930742,-38.365299,Brasil
apartment,Northeast,230.0,464956.62,-13.002785,-38.519222,Brasil
apartment,Northeast,73.0,104537.22,-12.985207,-38.456074,Brasil
apartment,Northeast,200.0,187230.85,-12.958966,-38.405651,Brasil
apartment,Northeast,74.0,101416.71,-12.852844,-38.32711,Brasil
apartment,Northeast,142.0,274605.25,-12.950598,-38.40873,Brasil
apartment,Northeast,77.0,109217.99,-13.001876,-38.501404,Brasil
apartment,Northeast,200.0,187230.85,-12.958966,-38.405651,Brasil
apartment,Northeast,210.0,238719.34,-13.000443,-38.45739,Brasil
apartment,Northeast,105.0,136490.6,-12.998506,-38.52309,Brasil
apartment,Northeast,210.0,238719.34,-13.000443,-38.45739,Brasil
apartment,Northeast,105.0,136490.6,-12.998506,-38.52309,Brasil
apartment,Northeast,186.0,405666.85,-13.009664,-38.486431,Brasil
apartment,Northeast,128.0,140423.14,-13.002345,-38.528343,Brasil
apartment,Northeast,139.0,249641.14,-12.993305,-38.45739,Brasil
apartment,Northeast,182.0,436871.99,-13.004878,-38.532276,Brasil
apartment,Northeast,139.0,249641.14,-12.993305,-38.45739,Brasil
apartment,Northeast,182.0,436871.99,-13.004878,-38.532276,Brasil
apartment,Northeast,204.0,452474.56,-13.002883,-38.486099,Brasil
apartment,Northeast,204.0,468077.13,-13.002883,-38.486099,Brasil
apartment,Northeast,82.0,131061.59,-12.990577,-38.510612,Brasil
apartment,Northeast,82.0,131061.59,-12.990577,-38.510612,Brasil
apartment,Northeast,110.0,93615.42,-12.992462,-38.444553,Brasil
apartment,Northeast,106.0,185670.59,-12.9371316,-38.3556842,Brasil
apartment,Northeast,63.0,109217.99,-12.974083,-38.431091,Brasil
apartment,Northeast,110.0,93615.42,-12.992462,-38.444553,Brasil
apartment,Northeast,106.0,185670.59,-12.9371316,-38.3556842,Brasil
apartment,Northeast,63.0,109217.99,-12.974083,-38.431091,Brasil
apartment,Northeast,67.0,112338.51,-12.971625,-38.486305,Brasil
apartment,Northeast,88.0,121700.05,-12.985591,-38.469273,Brasil
apartment,Northeast,88.0,121700.05,-12.985591,-38.469273,Brasil
